,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Total_Membors,FamilySize,IsAlone,relatives,Age*Class,FarePerMember,Age_Band,AgeOneHot,FareBand,FareOnehot
34,0,1,0,28,1,0,82,1,1,3,2,0,1,28,27,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
35,0,1,0,42,1,0,52,0,1,3,2,0,1,42,17,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
36,1,3,0,21,0,0,7,1,1,2,1,1,0,68,3,,1,"(-0.512, 128.082]",0
37,0,3,0,21,0,0,8,0,1,3,1,1,0,63,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
38,0,3,1,18,2,0,18,0,2,4,3,0,2,54,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
39,1,3,1,14,1,0,11,1,2,2,2,0,1,42,5,"(0.34, 16.336]",0,"(-0.512, 128.082]",1
40,0,3,1,40,1,0,9,0,3,5,2,0,1,120,1,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
41,0,2,1,27,1,0,21,0,3,7,2,0,1,54,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
42,0,3,0,26,0,0,7,1,1,2,1,1,0,80,3,,1,"(-0.512, 128.082]",0
43,1,2,1,3,1,2,41,1,2,5,4,0,3,6,8,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
44,1,3,1,19,0,0,7,2,2,3,1,1,0,57,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
45,0,3,0,27,0,0,8,0,1,3,1,1,0,84,2,,1,"(-0.512, 128.082]",1
46,0,3,0,22,1,0,15,2,1,2,2,0,1,67,7,,1,"(-0.512, 128.082]",2
47,1,3,1,20,0,0,7,2,2,2,1,1,0,66,3,,1,"(-0.512, 128.082]",0
48,0,3,0,19,2,0,21,1,1,2,3,0,2,58,10,,1,"(-0.512, 128.082]",2
49,0,3,1,18,1,0,17,0,3,4,2,0,1,54,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
50,0,3,0,7,4,1,39,0,4,3,6,0,5,21,13,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
51,0,3,0,21,0,0,7,0,1,3,1,1,0,63,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
52,1,1,1,49,1,0,76,1,3,5,2,0,1,49,15,"(48.168, 64.084]",3,"(-0.512, 128.082]",3
53,1,2,1,29,1,0,26,0,3,5,2,0,1,58,5,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
54,0,1,0,65,0,1,61,1,1,3,2,0,1,65,20,"(64.084, 80.0]",4,"(-0.512, 128.082]",3
55,1,1,0,38,0,0,35,0,1,2,1,1,0,42,17,,2,"(-0.512, 128.082]",3
56,1,2,1,21,0,0,10,0,2,2,1,1,0,42,5,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
57,0,3,0,28,0,0,7,1,1,2,1,1,0,85,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
58,1,2,1,5,1,2,27,0,2,3,4,0,3,10,9,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
59,0,3,0,11,5,2,46,0,4,3,8,0,7,33,15,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
60,0,3,0,22,0,0,7,1,1,2,1,1,0,66,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
61,1,1,1,38,0,0,80,0,2,2,1,1,0,38,40,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
62,0,1,0,45,1,0,83,0,1,3,2,0,1,45,27,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
63,0,3,0,4,3,2,27,0,4,2,6,0,5,12,13,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
64,0,1,0,46,0,0,27,1,1,3,1,1,0,55,9,,2,"(-0.512, 128.082]",2
65,1,3,0,15,1,1,15,1,4,2,3,0,2,52,7,,0,"(-0.512, 128.082]",2
66,1,2,1,29,0,0,10,0,3,3,1,1,0,58,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
67,0,3,0,19,0,0,8,0,1,3,1,1,0,57,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
68,1,3,1,17,4,2,7,0,2,3,7,0,6,51,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
69,0,3,0,26,2,0,8,0,1,2,3,0,2,78,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
70,0,2,0,32,0,0,10,0,1,3,1,1,0,64,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
71,0,3,1,16,5,2,46,0,2,3,8,0,7,48,15,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
72,0,2,0,21,0,0,73,0,1,3,1,1,0,42,24,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
73,0,3,0,26,1,0,14,1,1,2,2,0,1,78,7,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
74,1,3,0,32,0,0,56,0,1,2,1,1,0,96,28,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
75,0,3,0,25,0,0,7,0,1,3,1,1,0,75,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
76,0,3,0,26,0,0,7,0,1,2,1,1,0,81,3,,1,"(-0.512, 128.082]",0
77,0,3,0,27,0,0,8,0,1,3,1,1,0,84,2,,1,"(-0.512, 128.082]",1
78,1,2,0,0,0,2,29,0,4,3,3,0,2,1,9,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
79,1,3,1,30,0,0,12,0,2,2,1,1,0,90,6,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
80,0,3,0,22,0,0,9,0,1,2,1,1,0,66,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
81,1,3,0,29,0,0,9,0,1,3,1,1,0,87,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
82,1,3,1,22,0,0,7,2,2,3,1,1,0,69,2,,1,"(-0.512, 128.082]",0
83,0,1,0,28,0,0,47,0,1,3,1,1,0,28,15,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
84,1,2,1,17,0,0,10,0,2,2,1,1,0,34,5,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
85,1,3,1,33,3,0,15,0,3,6,4,0,3,99,2,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
86,0,3,0,16,1,3,34,0,1,3,5,0,4,48,11,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
87,0,3,0,27,0,0,8,0,1,3,1,1,0,84,2,,1,"(-0.512, 128.082]",1
88,1,1,1,23,3,2,263,0,2,3,6,0,5,23,87,"(16.336, 32.252]",1,"(256.165, 384.247]",3
89,0,3,0,24,0,0,8,0,1,2,1,1,0,72,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
90,0,3,0,29,0,0,8,0,1,2,1,1,0,87,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
91,0,3,0,20,0,0,7,0,1,3,1,1,0,60,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
92,0,1,0,46,1,0,61,0,1,3,2,0,1,46,20,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
93,0,3,0,26,1,2,20,0,1,3,4,0,3,78,6,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
94,0,3,0,59,0,0,7,0,1,2,1,1,0,177,3,"(48.168, 64.084]",3,"(-0.512, 128.082]",0
95,0,3,0,27,0,0,8,0,1,3,1,1,0,84,2,,1,"(-0.512, 128.082]",1
96,0,1,0,71,0,0,34,1,1,3,1,1,0,71,11,"(64.084, 80.0]",4,"(-0.512, 128.082]",3
97,1,1,0,23,0,1,63,1,1,3,2,0,1,23,21,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
98,1,2,1,34,0,1,23,0,3,6,2,0,1,68,3,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
99,0,2,0,34,1,0,26,0,1,2,2,0,1,68,13,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
100,0,3,1,28,0,0,7,0,2,2,1,1,0,84,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
101,0,3,0,27,0,0,7,0,1,3,1,1,0,84,2,,1,"(-0.512, 128.082]",0
102,0,1,0,21,0,1,77,0,1,3,2,0,1,21,25,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
103,0,3,0,33,0,0,8,0,1,3,1,1,0,99,2,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
104,0,3,0,37,2,0,7,0,1,3,3,0,2,111,2,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
105,0,3,0,28,0,0,7,0,1,2,1,1,0,84,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
106,1,3,1,21,0,0,7,0,2,3,1,1,0,63,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
107,1,3,0,22,0,0,7,0,1,3,1,1,0,72,2,,1,"(-0.512, 128.082]",0
108,0,3,0,38,0,0,7,0,1,2,1,1,0,114,3,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
109,1,3,1,16,1,0,24,2,2,2,2,0,1,54,12,,0,"(-0.512, 128.082]",2
110,0,1,0,47,0,0,52,0,1,3,1,1,0,47,17,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
111,0,3,1,14,1,0,14,1,2,2,2,0,1,43,7,"(0.34, 16.336]",0,"(-0.512, 128.082]",1
112,0,3,0,22,0,0,8,0,1,3,1,1,0,66,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
113,0,3,1,20,1,0,9,0,2,2,2,0,1,60,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
114,0,3,1,17,0,0,14,1,2,2,1,1,0,51,7,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
115,0,3,0,21,0,0,7,0,1,2,1,1,0,63,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
116,0,3,0,70,0,0,7,2,1,2,1,1,0,211,3,"(64.084, 80.0]",4,"(-0.512, 128.082]",0
117,0,2,0,29,1,0,21,0,1,4,2,0,1,58,5,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
118,0,1,0,24,0,1,247,1,1,3,2,0,1,24,82,"(16.336, 32.252]",1,"(128.082, 256.165]",3
119,0,3,1,2,4,2,31,0,2,4,7,0,6,6,7,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
120,0,2,0,21,2,0,73,0,1,3,3,0,2,42,24,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
121,0,3,0,27,0,0,8,0,1,3,1,1,0,84,2,,1,"(-0.512, 128.082]",1
122,0,2,0,32,1,0,30,1,1,2,2,0,1,65,15,"(32.252, 48.168]",1,"(-0.512, 128.082]",2
123,1,2,1,32,0,0,13,0,2,2,1,1,0,65,6,"(32.252, 48.168]",1,"(-0.512, 128.082]",1
124,0,1,0,54,0,1,77,0,1,3,2,0,1,54,25,"(48.168, 64.084]",3,"(-0.512, 128.082]",3
125,1,3,0,12,1,0,11,1,4,2,2,0,1,36,5,"(0.34, 16.336]",0,"(-0.512, 128.082]",1
126,0,3,0,27,0,0,7,2,1,2,1,1,0,79,3,,1,"(-0.512, 128.082]",0
127,1,3,0,24,0,0,7,0,1,3,1,1,0,72,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
128,1,3,1,15,1,1,22,1,2,2,3,0,2,54,11,,0,"(-0.512, 128.082]",2
129,0,3,0,45,0,0,6,0,1,2,1,1,0,135,3,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
130,0,3,0,33,0,0,7,1,1,2,1,1,0,99,3,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
131,0,3,0,20,0,0,7,0,1,3,1,1,0,60,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
132,0,3,1,47,1,0,14,0,3,6,2,0,1,141,2,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
133,1,2,1,29,1,0,26,0,3,5,2,0,1,58,5,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
134,0,2,0,25,0,0,13,0,1,4,1,1,0,50,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
135,0,2,0,23,0,0,15,1,1,2,1,1,0,46,7,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
136,1,1,1,19,0,2,26,0,2,3,3,0,2,19,8,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
137,0,1,0,37,1,0,53,0,1,3,2,0,1,37,17,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
138,0,3,0,16,0,0,9,0,1,3,1,1,0,48,3,"(0.34, 16.336]",0,"(-0.512, 128.082]",1
139,0,1,0,24,0,0,79,1,1,2,1,1,0,24,39,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
140,0,3,1,24,0,2,15,1,3,3,3,0,2,77,5,,1,"(-0.512, 128.082]",2
141,1,3,1,22,0,0,7,0,2,3,1,1,0,66,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
142,1,3,1,24,1,0,15,0,3,6,2,0,1,72,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
143,0,3,0,19,0,0,6,2,1,2,1,1,0,57,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
144,0,2,0,18,0,0,11,0,1,3,1,1,0,36,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
145,0,2,0,19,1,1,36,0,1,3,3,0,2,38,12,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
146,1,3,0,27,0,0,7,0,1,4,1,1,0,81,1,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
147,0,3,1,9,2,2,34,0,2,4,5,0,4,27,8,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
148,0,2,0,36,0,2,26,0,1,5,3,0,2,73,5,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
149,0,2,0,42,0,0,13,0,5,4,1,1,0,84,3,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
150,0,2,0,51,0,0,12,0,5,3,1,1,0,102,4,"(48.168, 64.084]",3,"(-0.512, 128.082]",1
151,1,1,1,22,1,0,66,0,3,4,2,0,1,22,16,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
152,0,3,0,55,0,0,8,0,1,2,1,1,0,166,4,"(48.168, 64.084]",3,"(-0.512, 128.082]",1
153,0,3,0,40,0,2,14,0,1,4,3,0,2,121,3,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
154,0,3,0,27,0,0,7,0,1,3,1,1,0,84,2,,1,"(-0.512, 128.082]",0
155,0,1,0,51,0,1,61,1,1,3,2,0,1,51,20,"(48.168, 64.084]",3,"(-0.512, 128.082]",3
156,1,3,1,16,0,0,7,2,2,3,1,1,0,48,2,"(0.34, 16.336]",0,"(-0.512, 128.082]",0
157,0,3,0,30,0,0,8,0,1,2,1,1,0,90,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
158,0,3,0,26,0,0,8,0,1,2,1,1,0,81,4,,1,"(-0.512, 128.082]",1
159,0,3,0,2,8,2,69,0,4,3,11,0,10,1,23,,0,"(-0.512, 128.082]",3
160,0,3,0,44,0,1,16,0,1,3,2,0,1,132,5,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
161,1,2,1,40,0,0,15,0,3,6,1,1,0,80,2,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
162,0,3,0,26,0,0,7,0,1,3,1,1,0,78,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
163,0,3,0,17,0,0,8,0,1,2,1,1,0,51,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
164,0,3,0,1,4,1,39,0,4,3,6,0,5,3,13,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
165,1,3,0,9,0,2,20,0,4,5,3,0,2,27,4,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
166,1,1,1,37,0,1,55,0,3,4,2,0,1,42,13,,2,"(-0.512, 128.082]",3
167,0,3,1,45,1,4,27,0,3,5,6,0,5,135,5,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
168,0,1,0,45,0,0,25,0,1,3,1,1,0,56,8,,2,"(-0.512, 128.082]",2
169,0,3,0,28,0,0,56,0,1,2,1,1,0,84,28,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
170,0,1,0,61,0,0,33,0,1,4,1,1,0,61,8,"(48.168, 64.084]",3,"(-0.512, 128.082]",3
171,0,3,0,4,4,1,29,2,4,2,6,0,5,12,14,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
172,1,3,1,1,1,1,11,0,2,3,3,0,2,3,3,"(0.34, 16.336]",0,"(-0.512, 128.082]",1
173,0,3,0,21,0,0,7,0,1,3,1,1,0,63,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
174,0,1,0,56,0,0,30,1,1,3,1,1,0,56,10,"(48.168, 64.084]",3,"(-0.512, 128.082]",2
175,0,3,0,18,1,1,7,0,1,3,3,0,2,54,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
176,0,3,0,16,3,1,25,0,4,3,5,0,4,48,8,,0,"(-0.512, 128.082]",2
177,0,1,1,50,0,0,28,1,2,3,1,1,0,50,9,"(48.168, 64.084]",3,"(-0.512, 128.082]",2
178,0,2,0,30,0,0,13,0,1,2,1,1,0,60,6,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
179,0,3,0,36,0,0,0,0,1,2,1,1,0,108,0,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
180,0,3,1,1,8,2,69,0,2,3,11,0,10,3,23,,0,"(-0.512, 128.082]",3
181,0,2,0,36,0,0,15,1,1,2,1,1,0,66,7,,2,"(-0.512, 128.082]",2
182,0,3,0,9,4,2,31,0,4,4,7,0,6,27,7,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
183,1,2,0,1,2,1,39,0,4,3,4,0,3,2,13,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
184,1,3,1,4,0,2,22,0,2,3,3,0,2,12,7,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
185,0,1,0,45,0,0,50,0,1,3,1,1,0,56,16,,2,"(-0.512, 128.082]",3
186,1,3,1,19,1,0,15,2,3,5,2,0,1,61,3,,1,"(-0.512, 128.082]",2
187,1,1,0,45,0,0,26,0,1,6,1,1,0,45,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
188,0,3,0,40,1,1,15,2,1,2,3,0,2,120,7,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
189,0,3,0,36,0,0,7,0,1,2,1,1,0,108,3,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
190,1,2,1,32,0,0,13,0,3,2,1,1,0,64,6,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
191,0,2,0,19,0,0,13,0,1,2,1,1,0,38,6,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
192,1,3,1,19,1,0,7,0,2,4,2,0,1,57,1,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
193,1,2,0,3,1,1,26,0,4,3,3,0,2,6,8,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
194,1,1,1,44,0,0,27,1,3,5,1,1,0,44,5,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
195,1,1,1,58,0,0,146,1,2,2,1,1,0,58,73,"(48.168, 64.084]",3,"(128.082, 256.165]",3
196,0,3,0,27,0,0,7,2,1,2,1,1,0,79,3,,1,"(-0.512, 128.082]",0
197,0,3,0,42,0,1,8,0,1,4,2,0,1,126,2,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
198,1,3,1,22,0,0,7,2,2,3,1,1,0,69,2,,1,"(-0.512, 128.082]",0
199,0,2,1,24,0,0,13,0,2,4,1,1,0,48,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
200,0,3,0,28,0,0,9,0,1,4,1,1,0,84,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
201,0,3,0,1,8,2,69,0,1,2,11,0,10,2,34,,0,"(-0.512, 128.082]",3
202,0,3,0,34,0,0,6,0,1,3,1,1,0,102,2,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
203,0,3,0,45,0,0,7,1,1,2,1,1,0,136,3,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
204,1,3,0,18,0,0,8,0,1,3,1,1,0,54,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
205,0,3,1,2,0,1,10,0,2,3,2,0,1,6,3,"(0.34, 16.336]",0,"(-0.512, 128.082]",1
206,0,3,0,32,1,0,15,0,1,3,2,0,1,96,5,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
207,1,3,0,26,0,0,18,1,1,3,1,1,0,78,6,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
208,1,3,1,16,0,0,7,2,2,3,1,1,0,48,2,"(0.34, 16.336]",0,"(-0.512, 128.082]",0
209,1,1,0,40,0,0,31,1,1,2,1,1,0,40,15,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
210,0,3,0,24,0,0,7,0,1,2,1,1,0,72,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
211,1,2,1,35,0,0,21,0,2,3,1,1,0,70,7,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
212,0,3,0,22,0,0,7,0,1,3,1,1,0,66,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
213,0,2,0,30,0,0,13,0,1,3,1,1,0,60,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
214,0,3,0,22,1,0,7,2,1,2,2,0,1,67,3,,1,"(-0.512, 128.082]",0
215,1,1,1,31,1,0,113,1,2,2,2,0,1,31,56,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
216,1,3,1,27,0,0,7,0,2,2,1,1,0,81,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
217,0,2,0,42,1,0,27,0,1,3,2,0,1,84,9,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
218,1,1,1,32,0,0,76,1,2,2,1,1,0,32,38,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
219,0,2,0,30,0,0,10,0,1,2,1,1,0,60,5,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
220,1,3,0,16,0,0,8,0,1,3,1,1,0,48,2,"(0.34, 16.336]",0,"(-0.512, 128.082]",1
221,0,2,0,27,0,0,13,0,1,3,1,1,0,54,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
222,0,3,0,51,0,0,8,0,1,3,1,1,0,153,2,"(48.168, 64.084]",3,"(-0.512, 128.082]",1
223,0,3,0,26,0,0,7,0,1,2,1,1,0,81,3,,1,"(-0.512, 128.082]",0
224,1,1,0,38,1,0,90,0,1,3,2,0,1,38,30,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
225,0,3,0,22,0,0,9,0,1,4,1,1,0,66,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
226,1,2,0,19,0,0,10,0,1,3,1,1,0,38,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
227,0,3,0,20,0,0,7,0,1,4,1,1,0,61,1,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
228,0,2,0,18,0,0,13,0,1,3,1,1,0,36,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
229,0,3,1,15,3,1,25,0,2,2,5,0,4,48,12,,0,"(-0.512, 128.082]",2
230,1,1,1,35,1,0,83,0,3,5,2,0,1,35,16,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
231,0,3,0,29,0,0,7,0,1,3,1,1,0,87,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
232,0,2,0,59,0,0,13,0,1,3,1,1,0,118,4,"(48.168, 64.084]",3,"(-0.512, 128.082]",1
233,1,3,1,5,4,2,31,0,2,3,7,0,6,15,10,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
